/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/compressai/models/video/google.py:353: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @amp.autocast(enabled=False)
/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
2026-02-13 01:50:14,873 [INFO ] [Spatial][E1][g_a1] U=0.021984 E=0.082661 Ehigh=0.009940 Elow=0.071508 G=0.000000
2026-02-13 01:50:14,873 [INFO ] [Spatial][E1][g_a3] U=0.037559 E=0.142864 Ehigh=0.043323 Elow=0.095070 G=0.000000
2026-02-13 01:50:14,873 [INFO ] [Spatial][E1][g_a5] U=0.089501 E=0.356002 Ehigh=0.154802 Elow=0.188824 G=0.000000
2026-02-13 01:50:14,873 [INFO ] [Spatial][E1][g_a7] U=0.143350 E=0.566425 Ehigh=0.299702 Elow=0.248189 G=0.000000
2026-02-13 01:50:14,873 [INFO ] [Spatial][E1][g_s0] U=0.560429 E=2.255045 Ehigh=1.168629 Elow=1.012373 G=0.000000
2026-02-13 01:50:14,874 [INFO ] [Spatial][E1][g_s2] U=0.059738 E=0.262866 Ehigh=0.161055 Elow=0.093290 G=0.000000
2026-02-13 01:50:14,874 [INFO ] [Spatial][E1][g_s4] U=0.021234 E=0.050575 Ehigh=0.019520 Elow=0.029333 G=0.000000
2026-02-13 01:50:14,874 [INFO ] [Spatial][E1][g_s6] U=0.013878 E=0.045038 Ehigh=0.029049 Elow=0.009470 G=0.000000
2026-02-13 01:50:15,261 [INFO ] Epoch 2/30 | LR 1.00e-04
2026-02-13 01:50:16,089 [INFO ] [Train][E2][it 0/3188][step 6377] RD 1.8254 | BPP 0.6260 | MSE 0.003689 | PSNR 24.38 | AUX 1346.85
2026-02-13 01:50:32,039 [INFO ] [Train][E2][it 100/3188][step 6477] RD 1.2135 | BPP 0.5417 | MSE 0.002066 | PSNR 27.20 | AUX 1310.88
2026-02-13 01:50:47,986 [INFO ] [Train][E2][it 200/3188][step 6577] RD 1.2291 | BPP 0.5410 | MSE 0.002116 | PSNR 27.05 | AUX 1279.98
2026-02-13 01:51:03,928 [INFO ] [Train][E2][it 300/3188][step 6677] RD 1.2266 | BPP 0.5381 | MSE 0.002118 | PSNR 27.06 | AUX 1252.61
